,Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
168,Malawi,MWI,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,3700.0,7000.0,10500.0,22500.0,49000.0,55730.0,86047.0,135114.0,222135.0,421163.0,620163.0,1050852.0,1507684.0,2485646.0,3117364.0,3951572.0,4646894.0,5290044.0,5632514.0,6566707.0,7178384.0,7772503.0,7076906.0,8901027.0,10004680.0,11940135.0
171,Namibia,NAM,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,6644.0,12500.0,19500.0,30000.0,82000.0,106600.0,150000.0,223671.0,286095.0,448857.0,608846.0,800270.0,1052000.0,1631576.0,1950072.0,2194495.0,2146833.0,2727913.0,2670983.0,2549817.0,2659951.0,2680196.0,2759293.0,2823655.0,2898125.0,2915307.0
172,New Caledonia,NCL,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,2060.0,5198.0,13040.0,25450.0,49948.0,67917.0,80000.0,97113.0,116443.0,134265.0,155000.0,176350.0,196474.0,209595.0,220811.0,227310.0,231000.0,240500.0,243100.0,260277.0,,,,260000.0,260000.0,
173,Niger,NER,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1349.0,2192.0,2056.0,2126.0,57541.0,82365.0,172421.0,323853.0,483000.0,900000.0,1897628.0,2599000.0,3668625.0,4742879.0,5395540.0,7006300.0,8236400.0,8959000.0,7471802.0,8778884.0,,12119000.0,14239000.0,
174,Nigeria,NGA,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9049.0,12800.0,13000.0,14000.0,15000.0,20000.0,25000.0,30000.0,266461.0,1569050.0,3149473.0,9147209.0,18587000.0,32322202.0,40395611.0,62988492.0,74518264.0,87297789.0,95167308.0,112777785.0,127246092.0,138960320.0,150830089.0,154342168.0,144920170.0,172730603.0,184592255.0,204228678.0,195128265.0
175,Nicaragua,NIC,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,2183.0,4400.0,5100.0,7560.0,18310.0,44229.0,90294.0,164509.0,237248.0,466706.0,738624.0,1119379.0,1830220.0,2502281.0,3108002.0,3344563.0,3962247.0,4823534.0,5851723.0,6808930.0,7067860.0,7264151.0,7745512.0,8179876.0,7441527.0,5788432.0,5962186.0,6233864.0
178,Nepal,NPL,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,10226.0,17286.0,21881.0,81867.0,116778.0,227316.0,1157102.0,3268895.0,4200000.0,5597880.0,9195562.0,13354477.0,16608622.0,21362289.0,23021340.0,27516055.0,32120305.0,36096396.0,39178451.0,38696000.0,38213000.0,
179,Nauru,NRU,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,450.0,500.0,600.0,750.0,850.0,1000.0,1200.0,1500.0,,,,,,,,,6200.0,6700.0,6800.0,,,9400.0,9900.0,10000.0,,10000.0,10000.0,
165,Mozambique,MOZ,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,6725.0,12243.0,51065.0,152652.0,254759.0,435757.0,708000.0,1503943.0,2339317.0,3079783.0,4405006.0,5970781.0,7224176.0,7855345.0,8804986.0,12401290.0,18482638.0,20134932.0,15025598.0,11875506.0,14074248.0,14773364.0,15463226.0,13686234.0
185,Panama,PAN,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,23474.0,85883.0,232888.0,410401.0,475141.0,525845.0,692406.0,1259948.0,1748740.0,2174451.0,3010635.0,3915246.0,6066683.0,6646348.0,6735429.0,6213564.0,6204636.0,6906090.0,5741929.0,5141768.0,5280195.0,5722370.0,5825677.0,6108584.0,6003255.0
145,Latvia,LVA,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,3800.0,8364.0,15003.0,28500.0,77100.0,167460.0,274344.0,401272.0,656835.0,917196.0,1219550.0,1536712.0,1871602.0,2183696.0,2217008.0,2298610.0,2303600.0,2306100.0,2309000.0,2630873.0,2558000.0,2384000.0,2590000.0,2650273.0,2464122.0,2070180.0,2071652.0,2051359.0,2161725.0
141,Lesotho,LSO,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1262.0,3500.0,9831.0,12000.0,21600.0,57000.0,137953.0,125950.0,196213.0,249786.0,357913.0,482455.0,593216.0,661000.0,987448.0,1232354.0,1544815.0,1790295.0,2138789.0,2140141.0,2282917.0,2380804.0,1582141.0,1681633.0,1562648.0,1821374.0
100,Haiti,HTI,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,25000.0,55000.0,91500.0,140000.0,320000.0,400000.0,500200.0,1200000.0,2500000.0,3200000.0,3648000.0,4000000.0,4200000.0,6094947.0,7160200.0,6769312.0,7300000.0,6504010.0,6305862.0,6602878.0,6843380.0,7319000.0,
107,IDA only,IDX,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3535.0,15410.0,32108.0,63061.0,127204.0,258307.0,589913.0,1209513.0,2666721.0,5222715.0,9352205.0,16109990.0,27548916.0,47723999.0,87868482.0,146479747.0,212901613.0,268896147.0,341321250.0,426826445.0,496937197.0,576810465.0,661982102.0,727931590.0,750022950.0,780272628.0,776616885.0,888578991.0,930259846.0,
109,India,IND,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76680.0,327967.0,881839.0,1195400.0,1884311.0,3577095.0,6540000.0,13000000.0,33690000.0,52220000.0,90140000.0,166050000.0,233620000.0,346890000.0,525090000.0,752190000.0,893862478.0,864720917.0,886304245.0,944008677.0,1001056000.0,1127809000.0,1168902277.0,1176021869.0,1151480361.0,1153709832.0,1154046584.0
112,"Iran, Islamic Rep.",IRN,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9200.0,15902.0,59967.0,238942.0,389974.0,490478.0,962595.0,2087353.0,2279143.0,3449876.0,5075678.0,8510513.0,15385289.0,29770000.0,43000000.0,52555000.0,54051764.0,56043006.0,58157539.0,65246219.0,68891151.0,74218815.0,80520249.0,87046953.0,88722442.0,118061419.0,127624951.0,135889424.0
113,Iraq,IRQ,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,80000.0,574000.0,1533000.0,9345371.0,14021232.0,17529000.0,20116876.0,23264408.0,25519000.0,26756000.0,32450000.0,33000000.0,33559000.0,33447000.0,33415690.0,36527353.0,37224759.0,37475325.0,37649112.0
117,Jamaica,JAM,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2447.0,7628.0,15221.0,26106.0,45138.0,54640.0,65995.0,78624.0,144388.0,366952.0,597826.0,1244976.0,1576360.0,1837552.0,1981464.0,2274650.0,2684331.0,2723323.0,2956061.0,3181995.0,2945395.0,2714938.0,2846196.0,3005490.0,3137213.0,3267344.0,3091222.0,2964974.0,3023873.0,2873259.0,2905408.0
120,Kazakhstan,KAZ,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,4600.0,9798.0,11202.0,29700.0,49500.0,197300.0,582000.0,1027000.0,1330730.0,2447000.0,5398000.0,7775737.0,12322676.0,14910573.0,17063200.0,19402600.0,25240800.0,30235400.0,30364900.0,28595600.0,26309300.0,25534800.0,26693300.0,26065600.0,25717700.0,24293900.0,24323000.0
121,Kenya,KEN,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,1162.0,1990.0,2279.0,2826.0,6767.0,10756.0,23757.0,127404.0,600000.0,1187122.0,1590785.0,2546157.0,4611970.0,7340317.0,11349412.0,16303573.0,19364559.0,24968891.0,28080771.0,30731754.0,31830003.0,33632631.0,37715944.0,38982188.0,42815109.0,49501430.0,54555497.0,61408904.0,65085720.0
122,Kyrgyz Republic,KGZ,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,2574.0,9000.0,27000.0,53084.0,138279.0,263375.0,541652.0,1261757.0,2168329.0,3394016.0,4487123.0,5275477.0,6277108.0,6797852.0,6737487.0,7563444.0,7579439.0,7613528.0,8467966.0,8735246.0,8622565.0,8511000.0,
143,Lithuania,LTU,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,1242.0,4512.0,14795.0,50973.0,165337.0,267615.0,332000.0,524000.0,1017999.0,1645568.0,2102207.0,3051160.0,4353447.0,4718215.0,4912077.0,5022638.0,4961499.0,4890979.0,4938000.0,4997265.0,4565976.0,4267592.0,4184053.0,4204692.0,4361329.0,3764670.0,3704258.0,3671995.0,3726653.0
123,Cambodia,KHM,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4810.0,10239.0,14100.0,23098.0,33556.0,61345.0,89117.0,130547.0,223458.0,380000.0,498388.0,861500.0,1062000.0,1721650.0,2583318.0,4237000.0,6268000.0,8150764.0,13757000.0,19105115.0,20264514.0,20451982.0,20850543.0,19915503.0,18572973.0,19417123.0,21418681.0,21086791.0,19899790.0
125,St. Kitts and Nevis,KNA,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,300.0,205.0,440.0,700.0,1200.0,2100.0,5000.0,22000.0,29000.0,51000.0,51000.0,64500.0,74500.0,75500.0,80000.0,77000.0,76000.0,77000.0,65000.0,73009.0,76583.0,76878.0,71594.0,65224.0,78000.0,
129,Lao PDR,LAO,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,340.0,625.0,1539.0,3790.0,4915.0,6453.0,12078.0,12681.0,29545.0,55160.0,112275.0,204191.0,657528.0,1009565.0,1478409.0,2022133.0,3234642.0,4003395.0,5480851.0,4300000.0,4612612.0,4618586.0,3727162.0,3958510.0,3711813.0,3662336.0,4636926.0,4636690.0,4822973.0
130,Lebanon,LBN,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,198000.0,373900.0,505300.0,627000.0,743000.0,766754.0,775104.0,795460.0,884445.0,993557.0,1106431.0,1260000.0,1427000.0,2390317.0,2863664.0,3456650.0,3755169.0,3884757.0,4387275.0,4657651.0,4277043.0,4399085.0,4424185.0,4237962.0,4288221.0,
264,Zambia,ZMB,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1547.0,2721.0,4550.0,8260.0,28190.0,98853.0,121200.0,139092.0,241000.0,464354.0,949559.0,1663328.0,2639026.0,3539003.0,4406682.0,5446991.0,8164553.0,10524676.0,10395801.0,10114867.0,11557725.0,12017034.0,13438539.0,15470270.0,17220607.0,19104208.0,20247111.0
132,Libya,LBY,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,20000.0,30000.0,40000.0,50000.0,70000.0,127000.0,500000.0,2000000.0,3927562.0,4500000.0,7379115.0,9534091.0,10900000.0,10000000.0,9587000.0,10235300.0,8497080.0,9747080.0,7660068.0,6020000.0,,3718000.0,2922000.0,
133,St. Lucia,LCA,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,524.0,1000.0,1400.0,1600.0,1900.0,2300.0,2500.0,2700.0,14313.0,99000.0,101000.0,105656.0,105600.0,147000.0,175045.0,189738.0,198212.0,216530.0,216000.0,212063.0,188351.0,187741.0,176648.0,176694.0,184944.0,147790.0,203000.0,
135,Least developed countries: UN classification,LDC,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2294.0,13415.0,26818.0,52527.0,94633.0,180937.0,406557.0,767281.0,1752845.0,3596816.0,6915427.0,11946471.0,20413874.0,36858391.0,68199586.0,117624567.0,172778730.0,216198448.0,279823504.0,361321096.0,425656545.0,500690157.0,578971020.0,635394324.0,650948358.0,674440260.0,664418771.0,773844551.0,814058923.0,
136,Low income,LIC,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754.0,6022.0,10493.0,24726.0,38321.0,65124.0,152935.0,295526.0,801362.0,1943160.0,3672661.0,7490204.0,13222564.0,20187204.0,34080471.0,58215602.0,89023940.0,114239794.0,147085816.0,191514926.0,225742079.0,267090712.0,306997292.0,334122371.0,332171903.0,341970738.0,297043475.0,375729678.0,404005030.0,
137,Liechtenstein,LIE,Mobile cellular subscriptions,IT.CEL.SETS,,,,,,,,,,,0.0,,,,,,,,7500.0,9000.0,10000.0,11000.0,11402.0,25000.0,25500.0,27503.0,28755.0,32013.0,34000.0,35000.0,35500.0,36970.0,36080.0,38427.0,40652.0,40950.0,44298.0,46402.0,47272.0,47748.0,48887.0,49264.0
124,Kiribati,KIR,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,200.0,300.0,395.0,495.0,526.0,615.0,650.0,700.0,750.0,1000.0,9907.0,10595.0,13788.0,18000.0,20000.0,30000.0,41000.0,52000.0,46123.0,53338.0,54658.0,54661.0,54527.0
98,Heavily indebted poor countries (HIPC),HPC,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,2996.0,6606.0,15197.0,43020.0,115494.0,288202.0,653789.0,1319083.0,2870156.0,5296669.0,8557919.0,14370505.0,22563846.0,34661619.0,59063690.0,96948361.0,147770799.0,189207562.0,232417840.0,289409947.0,336857124.0,387805616.0,436363108.0,483957049.0,487123787.0,501846294.0,468724195.0,554888071.0,592850550.0,
187,Philippines,PHL,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34600.0,56044.0,102400.0,171903.0,493862.0,959024.0,1343620.0,1733652.0,2849980.0,6454359.0,12159163.0,15383001.0,22509560.0,32935875.0,34778995.0,42868911.0,57344815.0,68117167.0,75586646.0,83150138.0,94189795.0,101978345.0,102823569.0,111326045.0,117838074.0,120096895.0,119971922.0,134599017.0,167322432.0,149579406.0,163345244.0
190,Poland,POL,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2195.0,15699.0,38942.0,75000.0,216900.0,812200.0,1928042.0,3956500.0,6747000.0,10004661.0,13898471.0,17401222.0,23096065.0,29166391.0,36745454.0,41388774.0,43926365.0,44806632.0,46952111.0,50160222.0,54086209.0,56972803.0,56905306.0,54537230.0,53001776.0,50458854.0,48285544.0,48392944.0,49350724.0,50588785.0
229,Chad,TCD,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,22000.0,34200.0,65000.0,123000.0,210000.0,466088.0,918356.0,1600000.0,2281320.0,2875304.0,3665661.0,4402282.0,4561243.0,5251560.0,5465797.0,5585709.0,6368600.0,6984130.0,7664839.0,8687151.0,
232,Togo,TGO,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2995.0,7500.0,17000.0,50000.0,95000.0,165138.0,243613.0,332565.0,433635.0,708000.0,1190319.0,1549542.0,2187334.0,2602283.0,2695335.0,3312239.0,4262993.0,4516114.0,4855206.0,5505424.0,6069905.0,6144507.0,6239183.0,6516510.0,
234,Tajikistan,TJK,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,320.0,420.0,625.0,1160.0,1630.0,13200.0,47617.0,135000.0,265000.0,2150000.0,2132770.0,3673520.0,4900000.0,5940842.0,6324000.0,6528000.0,7537100.0,7999100.0,8489000.0,9400000.0,9904000.0,10000000.0,10995000.0,11584000.0,
235,Turkmenistan,TKM,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,3000.0,4000.0,7500.0,8173.0,8173.0,9187.0,50100.0,105000.0,216868.0,381670.0,1135150.0,2132890.0,3197624.0,5300000.0,5900000.0,6125300.0,7206100.0,7842000.0,8575000.0,9377000.0,9377000.0,9377000.0,9377000.0,
237,Timor-Leste,TLS,Mobile cellular subscriptions,IT.CEL.SETS,,,,,,,,,,,0.0,,,,,,,,,,,,,20058.0,25722.0,33072.0,49100.0,78215.0,125002.0,350891.0,473020.0,614151.0,621000.0,650000.0,1375749.0,1376669.0,1492124.0,1556624.0,1468493.0,1425256.0,1377915.0,1386172.0
239,Tonga,TON,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,302.0,120.0,130.0,140.0,180.0,236.0,3354.0,11200.0,16400.0,29872.0,30051.0,46525.0,50472.0,53000.0,54300.0,55000.0,56000.0,57500.0,68000.0,73493.0,80000.0,107938.0,107938.0,62104.0,62000.0,64328.0
242,Trinidad and Tobago,TTO,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,1277.0,1679.0,2599.0,6353.0,9534.0,17140.0,26307.0,38659.0,161860.0,256106.0,262772.0,336352.0,651189.0,924100.0,1518800.0,1509800.0,1806120.0,1846345.0,1894240.0,1826200.0,1883683.0,1943873.0,1980566.0,2123374.0,2165847.0,2030637.0,1972595.0,2163725.0,1987996.0,1996837.0
245,Tuvalu,TUV,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1300.0,1600.0,1800.0,,1000.0,1600.0,2130.0,2800.0,3400.0,3800.0,6600.0,7600.0,8000.0,8500.0,9000.0,9000.0,
246,Tanzania,TZA,Mobile cellular subscriptions,IT.CEL.SETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,3500.0,9038.0,20200.0,37940.0,50950.0,110518.0,275560.0,606859.0,1298000.0,1942000.0,2964000.0,5609000.0,8252000.0,13006793.0,17469486.0,20983853.0,25666455.0,27219283.0,27442823.0,31862656.0,39665600.0,40044186.0,39953860.0,43497261.0,47685232.0,51220233.0,54044384.0
